თარიღი,G-Force სუპერი,G-Force პრემიუმი,G-Force ევრო რეგულარი,ევრო რეგულარი,G-Force ევრო დიზელი,ევრო დიზელი,გაზი
2023-05-29,3.45,2.65,2.41,2.31,3.19,3.09,1.69
2023-05-13,3.39,2.59,2.35,2.25,3.19,3.09,1.69
2023-05-02,3.39,2.59,2.35,2.25,3.29,3.19,1.69
2023-04-26,3.39,2.59,2.35,2.25,3.37,3.27,1.69
2023-04-08,3.39,2.59,2.35,2.25,3.43,3.33,1.69
2023-03-27,3.39,2.59,2.35,2.25,3.49,3.39,1.69
2023-03-11,3.39,2.59,2.35,2.25,3.55,3.45,1.69
2023-02-25,3.45,2.65,2.39,2.29,3.59,3.49,1.69
2023-02-18,3.55,2.75,2.49,2.39,3.63,3.53,1.69
2023-02-11,3.59,2.79,2.59,2.49,3.69,3.59,1.69
2023-02-04,3.59,2.89,2.69,2.59,3.79,3.69,1.69
2023-01-07,3.59,2.99,2.79,2.69,3.79,3.69,1.69
2022-12-17,3.69,3.09,2.89,2.79,3.89,3.79,1.69
2022-12-03,3.69,3.19,2.99,2.89,3.94,3.84,1.69
2022-11-26,3.69,3.29,3.14,2.99,3.99,3.89,1.69
2022-11-14,3.69,3.29,3.14,2.99,4.09,3.99,1.69
2022-11-10,3.74,3.34,3.19,3.04,4.09,3.99,1.69
2022-11-05,3.79,3.39,3.24,3.09,4.09,3.99,1.69
2022-10-22,3.84,3.44,3.29,3.14,4.09,3.99,1.69
2022-10-12,3.84,3.54,3.34,3.14,4.09,3.99,1.69
2022-09-27,3.89,3.59,3.39,3.19,4.09,3.99,1.69
2022-09-24,3.89,3.59,3.39,3.19,4.17,4.07,1.69
2022-09-22,3.99,3.69,3.49,3.29,4.17,4.07,1.69
2022-08-20,3.99,3.69,3.49,3.29,4.27,4.17,1.69
2022-08-13,4.09,3.79,3.59,3.39,4.37,4.27,1.69
2022-08-09,4.19,3.89,3.69,3.49,4.47,4.37,1.69
2022-07-27,4.29,3.99,3.79,3.59,4.57,4.47,1.69
2022-07-15,4.29,3.99,3.79,3.59,4.77,4.67,1.69
2022-07-07,4.19,3.99,3.79,3.59,4.77,4.67,1.69
2022-06-30,4.19,3.99,3.79,3.59,4.72,4.62,1.69
2022-06-23,4.15,3.89,3.69,3.49,4.65,4.55,1.69
2022-06-17,4.09,3.89,3.69,3.49,4.65,4.55,1.69
2022-06-14,4.09,3.89,3.69,3.49,4.55,4.45,1.69
2022-06-09,4.09,3.89,3.69,3.49,4.45,4.35,1.69
2022-06-06,4.09,3.89,3.69,3.49,4.35,4.25,1.69
2022-05-27,4.09,3.89,3.69,3.49,4.29,4.19,1.69
2022-05-26,3.83,3.63,3.43,3.23,4.03,3.93,1.69
2022-05-22,4.09,3.89,3.69,3.49,4.29,4.19,1.69
2022-05-19,4.13,3.93,3.73,3.59,4.39,4.29,1.69
2022-05-06,4.13,3.99,3.79,3.65,4.39,4.29,1.69
2022-05-04,4.13,3.99,3.79,3.65,4.44,4.39,1.69
2022-05-01,4.19,4.05,3.79,3.65,4.44,4.39,1.69
2022-04-09,4.19,4.05,3.83,3.75,4.44,4.39,1.69
2022-03-31,4.09,3.95,3.83,3.75,4.39,4.34,1.69
2022-03-30,3.99,3.89,3.83,3.75,4.29,4.22,1.69
2022-03-24,3.99,3.89,3.83,3.75,4.19,4.12,1.69
2022-03-22,3.89,3.85,3.79,3.71,4.09,4.03,1.69
2022-03-18,3.89,3.85,3.79,3.71,3.99,3.93,1.69
2022-03-15,3.89,3.85,3.79,3.71,3.93,3.87,1.69
2022-03-12,3.79,3.75,3.69,3.61,3.73,3.67,1.69
2022-03-10,3.69,3.65,3.59,3.51,3.63,3.57,1.59
2022-03-07,3.49,3.45,3.39,3.31,3.43,3.37,1.59
2022-03-01,3.39,3.33,3.29,3.23,3.29,3.23,1.59
2022-02-18,3.37,3.27,3.23,3.17,3.25,3.19,1.59
2022-02-11,3.33,3.23,3.19,3.13,3.25,3.19,1.59
2022-01-25,3.33,3.23,3.19,3.13,3.19,3.12,1.59
2021-12-30,3.33,3.19,3.15,3.09,3.19,3.12,1.59
2021-12-16,3.37,3.27,3.19,3.14,3.19,3.12,1.59
2021-11-16,3.37,3.27,3.19,3.14,3.19,3.12,1.44
2021-11-04,3.37,3.27,3.15,3.09,3.17,3.09,1.44
2021-10-28,3.33,3.23,3.15,3.09,3.13,3.05,1.44
2021-10-23,3.33,3.23,3.09,3.09,3.13,3.05,1.44
2021-08-26,3.25,3.17,3.09,3.03,3.07,2.99,1.44
2021-08-17,3.25,3.17,3.07,2.99,3.07,2.99,1.44
2021-08-04,3.2,3.13,3.03,2.99,3.03,2.95,1.44
2021-07-21,3.2,3.09,2.99,2.95,2.99,2.92,1.44
2021-07-20,3.2,3.09,2.99,2.93,2.99,2.92,1.44
2021-07-08,3.15,3.09,2.99,2.93,2.99,2.92,1.44
2021-07-01,3.13,3.07,2.97,2.91,2.99,2.89,1.44
2021-06-27,3.13,3.07,2.97,2.87,2.99,2.89,1.44
2021-06-01,3.07,3.03,2.93,2.87,2.93,2.87,1.44
2021-05-26,3.07,2.99,2.93,2.87,2.93,2.87,1.44
2021-05-14,3.05,2.99,2.89,2.83,2.93,2.87,1.44
2021-05-06,2.99,2.95,2.85,2.79,2.89,2.83,1.44
2021-04-27,2.99,2.92,2.79,2.73,2.85,2.79,1.44
2021-04-20,2.99,2.89,2.75,2.69,2.83,2.77,1.44
2021-04-12,2.96,2.86,2.71,2.65,2.77,2.71,1.44
2021-04-03,2.92,2.82,2.67,2.61,2.77,2.71,1.44
2021-03-30,2.89,2.79,2.63,2.57,2.75,2.69,1.39
2021-03-23,2.85,2.75,2.59,2.53,2.75,2.69,1.39
2021-03-16,2.81,2.71,2.55,2.49,2.73,2.67,1.37
2021-03-09,2.78,2.68,2.52,2.46,2.68,2.62,1.37
2021-02-27,2.73,2.63,2.47,2.41,2.63,2.57,1.37
2021-02-25,2.72,2.59,2.45,2.39,2.63,2.57,1.37
2021-02-11,2.69,2.57,2.43,2.37,2.59,2.53,1.37
2021-01-29,2.63,2.52,2.38,2.32,2.53,2.47,1.37
2021-01-19,2.58,2.46,2.33,2.27,2.48,2.42,1.32
2020-12-24,2.54,2.42,2.29,2.23,2.44,2.38,1.32
2020-12-19,2.54,2.42,2.29,2.21,2.44,2.38,1.32
2020-12-15,2.49,2.39,2.29,2.19,2.39,2.33,1.32
2020-11-16,2.49,2.39,2.29,2.19,2.39,2.33,1.29
2020-11-06,2.45,2.35,2.25,2.15,2.35,2.29,1.29
2020-09-29,2.39,2.27,2.17,2.09,2.29,2.23,1.29
2020-09-07,2.39,2.23,2.13,2.07,2.27,2.19,1.29
2020-08-28,2.35,2.19,2.09,2.03,2.23,2.15,1.29
2020-08-21,2.32,2.17,2.07,1.99,2.19,2.12,1.29
2020-08-15,2.3,2.15,2.05,1.97,2.17,2.1,1.29
2020-08-05,2.27,2.12,2.02,1.94,2.14,2.07,1.29
2020-07-29,2.22,2.07,1.97,1.89,2.09,2.02,1.29
2020-07-25,2.19,2.04,1.94,1.87,2.09,1.99,1.29
2020-07-17,2.19,2.04,1.94,1.84,2.09,1.99,1.29
2020-07-14,2.19,2.04,1.94,1.84,2.09,1.99,1.34
